class,certainty
1,0.6106021039655251
2,0.5731964850160274
1,0.9453830063865765
2,0.7237261590287809
2,1.0
1,0.8468333038548869
2,1.0
1,0.8474029836570113
1,0.9662789784776366
2,0.5691519007224007
1,0.8730684038456863
1,0.5156461291198722
2,0.5379627890924351
1,0.67694994306733
1,0.9490716726481455
2,1.0
3,1.0
2,0.7446564674320645
1,0.9591253926632501
1,0.922033923478412
1,0.5564894801815147
2,0.7480354113755063
1,0.6097374494663945
1,0.9556065351357093
1,0.8665728068059448
1,0.7483309770256737
2,1.0
2,0.7753361235326655
2,0.7411818373104415
1,0.8876437327039932
2,0.7548304144905225
1,0.796351851752173
2,0.8241476310753114
1,0.943985454359847
1,0.8942647193341526
